{'Date': '2020-02-13 06:46:28', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 22305, 'Nombre de tweets uniques': 404, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 03:12:55', 'Date du dernier retweet enregistré après analyse': '2020-02-13 03:12:55', 'TFIDF, Taille du vocabulaire': 40756, 'TFIDF, Nombre de tweets scannés': 18976}
{'Date': '2020-02-13 07:47:07', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 22990, 'Nombre de tweets uniques': 841, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 03:12:55', 'Date du dernier retweet enregistré après analyse': '2020-02-13 03:12:55', 'TFIDF, Taille du vocabulaire': 40756, 'TFIDF, Nombre de tweets scannés': 18976}
{'Date': '2020-02-13 08:46:37', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 22990, 'Nombre de tweets uniques': 841, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 03:12:55', 'Date du dernier retweet enregistré après analyse': '2020-02-13 03:12:55', 'TFIDF, Taille du vocabulaire': 40756, 'TFIDF, Nombre de tweets scannés': 18976}
{'Date': '2020-02-13 09:47:20', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 23447, 'Nombre de tweets uniques': 1185, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 03:12:55', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 10:46:33', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 23447, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 11:47:15', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 23785, 'Nombre de tweets uniques': 179, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 12:46:50', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 23785, 'Nombre de tweets uniques': 179, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 13:47:30', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 24188, 'Nombre de tweets uniques': 491, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 14:46:19', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 24188, 'Nombre de tweets uniques': 491, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 15:46:54', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 24679, 'Nombre de tweets uniques': 975, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 16:46:11', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 24679, 'Nombre de tweets uniques': 975, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 09:13:00', 'TFIDF, Taille du vocabulaire': 42666, 'TFIDF, Nombre de tweets scannés': 20151}
{'Date': '2020-02-13 17:46:51', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 25332, 'Nombre de tweets uniques': 1623, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 09:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 17:12:49', 'TFIDF, Taille du vocabulaire': 45239, 'TFIDF, Nombre de tweets scannés': 21763}
{'Date': '2020-02-13 18:46:04', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 25332, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 17:12:49', 'Date du dernier retweet enregistré après analyse': '2020-02-13 17:12:49', 'TFIDF, Taille du vocabulaire': 45239, 'TFIDF, Nombre de tweets scannés': 21763}
{'Date': '2020-02-13 19:46:28', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 25992, 'Nombre de tweets uniques': 607, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 17:12:49', 'Date du dernier retweet enregistré après analyse': '2020-02-13 17:12:49', 'TFIDF, Taille du vocabulaire': 45239, 'TFIDF, Nombre de tweets scannés': 21763}
{'Date': '2020-02-13 20:46:03', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 25992, 'Nombre de tweets uniques': 607, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 17:12:49', 'Date du dernier retweet enregistré après analyse': '2020-02-13 17:12:49', 'TFIDF, Taille du vocabulaire': 45239, 'TFIDF, Nombre de tweets scannés': 21763}
{'Date': '2020-02-13 21:32:04', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 26521, 'Nombre de tweets uniques': 1083, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 17:12:49', 'Date du dernier retweet enregistré après analyse': '2020-02-13 21:12:33', 'TFIDF, Taille du vocabulaire': 46985, 'TFIDF, Nombre de tweets scannés': 22829}
{'Date': '2020-02-13 21:45:57', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 26521, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 21:12:33', 'Date du dernier retweet enregistré après analyse': '2020-02-13 21:12:33', 'TFIDF, Taille du vocabulaire': 46985, 'TFIDF, Nombre de tweets scannés': 22829}
