{'Date': '2020-02-13 00:46:26', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 20683, "Nombre d'auteurs, FinalInf": 10469, 'Nombre de dataframes de type graph so far': 113, 'Nombre de dataframes de type tfidf so far': 113}
{'Date': '2020-02-13 01:46:38', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1023, 'Nombre de lignes total rajoutées, statswords': 1916, 'Nombre de tweets, FinalFam': 21236, "Nombre d'auteurs, FinalInf": 10654, 'Nombre de dataframes de type graph so far': 117, 'Nombre de dataframes de type tfidf so far': 117}
{'Date': '2020-02-13 02:46:12', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 21236, "Nombre d'auteurs, FinalInf": 10654, 'Nombre de dataframes de type graph so far': 117, 'Nombre de dataframes de type tfidf so far': 117}
{'Date': '2020-02-13 03:46:48', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1078, 'Nombre de lignes total rajoutées, statswords': 1934, 'Nombre de tweets, FinalFam': 21770, "Nombre d'auteurs, FinalInf": 10856, 'Nombre de dataframes de type graph so far': 121, 'Nombre de dataframes de type tfidf so far': 121}
{'Date': '2020-02-13 04:46:14', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 21770, "Nombre d'auteurs, FinalInf": 10856, 'Nombre de dataframes de type graph so far': 121, 'Nombre de dataframes de type tfidf so far': 121}
{'Date': '2020-02-13 05:46:42', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1021, 'Nombre de lignes total rajoutées, statswords': 1836, 'Nombre de tweets, FinalFam': 22305, "Nombre d'auteurs, FinalInf": 11050, 'Nombre de dataframes de type graph so far': 125, 'Nombre de dataframes de type tfidf so far': 125}
{'Date': '2020-02-13 06:46:44', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 22305, "Nombre d'auteurs, FinalInf": 11050, 'Nombre de dataframes de type graph so far': 125, 'Nombre de dataframes de type tfidf so far': 125}
{'Date': '2020-02-13 07:47:37', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 3950, 'Nombre de lignes total rajoutées, statswords': 1716, 'Nombre de tweets, FinalFam': 22990, "Nombre d'auteurs, FinalInf": 11271, 'Nombre de dataframes de type graph so far': 129, 'Nombre de dataframes de type tfidf so far': 129}
{'Date': '2020-02-13 08:46:53', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 22990, "Nombre d'auteurs, FinalInf": 11271, 'Nombre de dataframes de type graph so far': 129, 'Nombre de dataframes de type tfidf so far': 129}
{'Date': '2020-02-13 09:47:51', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 18095, 'Nombre de lignes total rajoutées, statswords': 2003, 'Nombre de tweets, FinalFam': 23447, "Nombre d'auteurs, FinalInf": 11484, 'Nombre de dataframes de type graph so far': 133, 'Nombre de dataframes de type tfidf so far': 133}
{'Date': '2020-02-13 10:46:49', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 23447, "Nombre d'auteurs, FinalInf": 11484, 'Nombre de dataframes de type graph so far': 133, 'Nombre de dataframes de type tfidf so far': 133}
{'Date': '2020-02-13 11:47:47', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 23883, 'Nombre de lignes total rajoutées, statswords': 2046, 'Nombre de tweets, FinalFam': 23785, "Nombre d'auteurs, FinalInf": 11607, 'Nombre de dataframes de type graph so far': 137, 'Nombre de dataframes de type tfidf so far': 137}
{'Date': '2020-02-13 12:47:06', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 23785, "Nombre d'auteurs, FinalInf": 11607, 'Nombre de dataframes de type graph so far': 137, 'Nombre de dataframes de type tfidf so far': 137}
{'Date': '2020-02-13 13:48:02', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 26057, 'Nombre de lignes total rajoutées, statswords': 2073, 'Nombre de tweets, FinalFam': 24188, "Nombre d'auteurs, FinalInf": 11719, 'Nombre de dataframes de type graph so far': 141, 'Nombre de dataframes de type tfidf so far': 141}
{'Date': '2020-02-13 14:46:35', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 24188, "Nombre d'auteurs, FinalInf": 11719, 'Nombre de dataframes de type graph so far': 141, 'Nombre de dataframes de type tfidf so far': 141}
{'Date': '2020-02-13 15:47:26', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 24894, 'Nombre de lignes total rajoutées, statswords': 1992, 'Nombre de tweets, FinalFam': 24679, "Nombre d'auteurs, FinalInf": 11890, 'Nombre de dataframes de type graph so far': 145, 'Nombre de dataframes de type tfidf so far': 145}
{'Date': '2020-02-13 16:46:27', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 24679, "Nombre d'auteurs, FinalInf": 11890, 'Nombre de dataframes de type graph so far': 145, 'Nombre de dataframes de type tfidf so far': 145}
{'Date': '2020-02-13 17:47:25', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 19680, 'Nombre de lignes total rajoutées, statswords': 2022, 'Nombre de tweets, FinalFam': 25332, "Nombre d'auteurs, FinalInf": 12115, 'Nombre de dataframes de type graph so far': 149, 'Nombre de dataframes de type tfidf so far': 149}
{'Date': '2020-02-13 18:46:21', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 25332, "Nombre d'auteurs, FinalInf": 12115, 'Nombre de dataframes de type graph so far': 149, 'Nombre de dataframes de type tfidf so far': 149}
{'Date': '2020-02-13 19:26:00', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 25332, "Nombre d'auteurs, FinalInf": 12115, 'Nombre de dataframes de type graph so far': 149, 'Nombre de dataframes de type tfidf so far': 149}
{'Date': '2020-02-13 20:59:25', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 25992, "Nombre d'auteurs, FinalInf": 5694, 'Nombre de dataframes de type graph so far': 151, 'Nombre de dataframes de type tfidf so far': 151, 'Nombre de vertex dans le graph global': 130, 'Nombre de links dans le graph global': 217, 'Nombre de communautés dans le graph global': 9, 'Nombre de composantes principales dans le graph global': 4}
{'Date': '2020-02-13 21:29:27', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 25992, "Nombre d'auteurs, FinalInf": 5694, 'Nombre de dataframes de type graph so far': 151, 'Nombre de dataframes de type tfidf so far': 151, 'Nombre de vertex dans le graph global': 130, 'Nombre de links dans le graph global': 217, 'Nombre de communautés dans le graph global': 9, 'Nombre de composantes principales dans le graph global': 4}
{'Date': '2020-02-13 21:33:00', 'Nombre de graph dataframes crées': 4, 'Nombre de lignes total rajoutées, linksdf': 12575, 'Nombre de lignes total rajoutées, statswords': 3820, 'Nombre de tweets, FinalFam': 26521, "Nombre d'auteurs, FinalInf": 5777, 'Nombre de dataframes de type graph so far': 159, 'Nombre de dataframes de type tfidf so far': 159, 'Nombre de vertex dans le graph global': 130, 'Nombre de links dans le graph global': 217, 'Nombre de communautés dans le graph global': 9, 'Nombre de composantes principales dans le graph global': 4}
{'Date': '2020-02-13 21:46:14', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 26521, "Nombre d'auteurs, FinalInf": 5777, 'Nombre de dataframes de type graph so far': 159, 'Nombre de dataframes de type tfidf so far': 159, 'Nombre de vertex dans le graph global': 130, 'Nombre de links dans le graph global': 217, 'Nombre de communautés dans le graph global': 9, 'Nombre de composantes principales dans le graph global': 4}
